nada-1,10pf-1,10pf-2,nada-2,39pf-1,conect-1,22pf-1,22pf-2,conect-2
21753,22195,22784,23939,19291,18814,20078,20994,15392
21842,22328,22751,23957,19312,17693,20012,21238,15184
21977,22336,22788,23945,19483,17670,20003,21250,15170
22137,22158,22891,23926,19448,17809,19924,21437,15273
22162,22179,23008,23823,19443,18331,19918,21591,15187
22202,22133,23093,23831,18938,18362,19758,21611,15211
22225,22126,23092,23887,18943,18461,19496,21604,15292
22285,21967,23038,23889,19271,18835,19520,21687,15234
22398,21994,23045,23985,19361,18912,19553,21715,15227
22485,22210,23078,23935,19413,18922,19815,21780,15257
22540,22792,22984,23903,19625,19249,19829,21635,15203
22447,22891,23004,23852,19640,19328,19613,21661,15233
22450,22968,23091,23818,19807,19329,19740,21818,15266
22352,22961,23176,23847,19799,19311,19850,21743,15096
22331,22974,23222,23875,19855,19407,19899,21581,15108
22108,23076,23220,23948,19289,19709,19865,21593,15315
22099,23073,22959,23926,19259,19826,19905,21595,15769
22154,23113,22965,23884,18154,19960,19879,21280,15703
22055,23069,22973,23961,18161,19830,19848,21384,15577
22120,22923,22849,23915,18308,19831,19902,21450,15575
22219,22917,22905,23910,18661,19931,19975,21585,15659
22257,22989,22877,23951,18940,19936,20041,21544,15860
22286,23105,22886,23898,19136,19793,20027,20861,15836
22382,23113,22913,23893,19215,19509,19727,21011,15944
22386,23151,23061,23851,19299,19500,19743,21131,15739
22303,23072,23092,23820,19317,19511,19693,21137,15778
22355,23081,22879,23756,19297,19438,19730,21216,15525
22337,23126,22902,23790,19323,19483,19880,21097,15557
22298,22999,22769,23780,19344,19059,19805,21116,15203
22394,22896,22666,23875,19314,19033,19764,21056,15184
22365,22749,22752,23879,19427,18754,19857,21140,15568
22417,22774,22754,23875,19346,18728,19845,21164,15568
22431,22772,22640,23782,19426,18778,19614,21090,15573
22465,22865,22455,23821,19400,19016,19593,21277,15761
22510,22869,22465,23812,19331,18940,19633,21338,15880
22525,22791,22593,23740,19339,18931,19637,21371,15755
22600,22846,22601,23746,19498,18880,19736,21608,15816
22652,22853,22684,23796,19446,18959,19741,21751,15603
22647,22964,22825,23826,19350,19370,19888,21751,15620
22655,23171,22877,23925,19362,19371,19881,21549,15945
22662,23163,22816,23998,19556,18958,19856,21456,16138
22614,23212,22778,23973,19568,18986,19812,21495,15938
22584,23093,22698,23971,19733,18806,19813,21458,15849
22544,23064,22745,23997,19802,18868,20009,21471,15945
22525,22992,22980,23979,19455,18810,20069,21477,16190
22433,22944,22969,23907,19415,18894,20008,21477,16245
22205,22966,23016,23879,19443,18709,19219,21767,16249
22103,23096,23008,23974,18594,18715,18964,21758,16221
22168,23330,22951,23907,18262,19041,18953,21732,16317
22230,23383,22916,23969,18251,19146,18578,21577,16325
22199,23395,22975,23978,18384,19149,18320,21457,16239
22193,23175,22984,23906,18896,18952,18291,21416,16250
22205,23116,22992,23870,19083,18764,18443,21323,16339
22235,23030,22926,23835,19182,18812,18457,20945,16370
22262,23014,22783,23777,19239,19071,18409,20932,16398
22357,23092,22838,23724,19760,19092,18328,20990,15977
22314,23015,22862,23726,19794,19605,18403,20966,15970
22305,22988,22856,23737,20008,19766,18264,21067,15895
22327,22984,22875,23693,20043,19717,18184,20970,15456
22355,22836,22920,23547,20015,19128,18388,20886,15383
22347,22812,22855,23581,20019,19129,18218,20934,15376
22344,22783,22833,23659,20233,18823,18155,21152,15154
22450,22601,22858,23647,20260,18860,18208,21306,15136
22435,22617,22870,23702,20432,18776,18428,21393,15214
22512,22625,22844,23698,20216,18282,18458,21449,15222
22483,22782,22846,23566,20103,17494,18296,21692,15062
22470,22788,22756,23557,19754,17519,18380,21788,15059
22467,22745,22757,23540,19566,17989,18497,21685,15140
22365,22716,22919,23823,19456,18285,18396,21410,15468
22361,22574,22846,23901,19359,18365,18383,21435,15477
22377,22490,22853,23890,19454,18316,18586,21720,15120
22297,22567,22718,23935,19451,17558,18570,21673,15132
22349,22552,22672,23557,19697,17436,18676,21748,15137
22354,22461,22696,23511,19732,17623,18681,21811,14827
22508,22463,22810,23450,20112,18098,18657,21708,14851
22534,22506,22822,23483,20174,18166,18353,21758,14902
22430,22514,22899,23482,20330,18364,18006,21497,14842
22219,22512,22915,23030,20309,18328,18011,21415,14742
22239,22575,22959,23094,19738,18561,18171,21525,14719
22191,22299,23041,23184,19350,18624,17993,21451,14964
22333,22237,22991,23300,19288,18746,17974,21513,14974
22480,22277,23047,23422,19343,19184,18074,21409,14929
22471,22298,23095,23564,19299,19334,18080,21579,14750
22143,22441,23101,23614,19162,19369,18241,21602,14802
22139,22439,23081,23515,19305,19478,17975,21641,15105
22274,22181,23028,23590,19272,19248,17916,21701,15062
22289,22181,22950,23673,18798,19227,17972,21503,14853
22305,22325,22869,23541,18057,19399,17974,21496,14802
22271,22450,22869,23538,17797,19453,17876,21682,14957
22086,22694,23032,23443,17781,19623,17839,21665,14914
21807,22791,23047,23458,18125,19952,17931,21545,14689
21744,22806,23102,23552,18126,20005,18209,21701,14749
21779,22823,23079,23388,18314,20004,18213,21733,14507
21546,22863,23051,23363,18370,20134,18262,21804,14500
21564,22965,23080,23444,18468,20112,18169,21744,13759
21656,22733,23131,23442,18720,19858,17914,21748,13778
21738,22718,23117,23555,19175,19842,18040,21689,14000
21703,22728,23159,23568,19210,19671,18052,21427,14025
21651,22741,23108,23429,19644,19663,18132,21410,13932
21515,22750,23143,23402,19896,19696,17988,21443,14069
21659,22788,23217,23360,20003,19768,18038,21500,14557
21667,22735,23303,23407,20030,19646,17955,21467,14727
21753,22776,23252,23334,20064,19642,17933,21440,14493
21691,22792,22754,23336,20112,19872,17938,21300,14482
21785,22853,22701,23239,19965,19973,18306,21121,14519
21850,22793,22724,23412,19438,20292,18330,21099,14582
21994,22756,22911,23430,19362,20475,18649,21147,14726
22044,22742,22984,23548,19482,20493,18755,20921,14863
22216,22702,23095,23602,19502,20633,18724,20917,15099
22209,22742,23084,23608,19542,20320,18727,20946,15233
22217,22687,23111,23691,19549,20204,18672,21227,15208
22393,22653,22992,23820,19622,20200,18203,21125,15373
22501,22288,22993,23831,19883,20061,18202,21129,15529
22511,22318,22917,23890,19894,20064,18293,20702,15532
22521,22331,22905,23964,19433,19998,18407,20667,14578
22376,22431,22857,23946,19160,20139,18792,20627,14336
22379,22487,22907,23889,19083,20149,18879,20612,14324
22469,22618,22879,23959,19080,20277,18906,20611,14280
22274,22665,22892,23985,19143,20379,18705,20600,14240
22262,22832,22761,23998,19178,20646,18720,20495,14364
22263,22831,22751,23861,19474,20638,18601,20485,14530
22039,22844,22772,23846,19591,20547,18432,20108,14506
21890,22797,22933,23801,19486,20332,17895,20181,14482
21887,22764,22944,23914,19321,20351,17847,20091,14268
21914,22756,22953,23795,19000,20595,17828,20047,14298
21970,22743,23067,23789,18969,20583,17845,20054,14144
21988,22903,23079,23761,18825,20161,18091,20076,14188
21996,22919,23143,23777,18806,20096,18098,20102,14399
21990,22897,23024,23893,18843,20083,18118,19959,14633
22129,22964,23031,23905,19323,20003,18226,19989,14612
22161,22865,23111,23897,19425,20006,18350,20001,14733
22202,22869,23125,23759,19125,20003,18360,20258,14676
22310,22831,23159,23811,19122,20030,18503,20260,14422
22346,22626,23206,23975,19415,19979,18656,20404,14015
22352,22604,23411,23913,19424,20201,18683,20246,13660
22410,22693,23414,23902,19504,20255,18619,20251,13588
22409,22721,23391,23841,19830,20155,18624,20508,13594
22301,22773,23298,23877,19791,20163,18532,20515,13861
22214,22892,23299,23979,19791,20332,18166,20279,13455
22200,22975,23341,23971,19943,20741,18169,19856,13445
22203,23054,23518,23983,20072,20772,18212,19853,13826
22185,23029,23508,23964,20067,20981,18220,20077,13974
22234,23011,23258,23911,20207,21017,17895,20047,13984
22393,22711,23247,23901,20205,21009,17882,19640,14333
22293,22615,23359,23946,20083,20894,17772,19645,14415
22295,22618,23373,23815,20125,21049,17772,19676,14332
22419,22649,23341,23814,19901,21100,17886,19730,14348
22430,22604,23183,23753,19928,21134,18084,19750,14379
22369,22608,23142,23748,20207,21105,17941,19573,14486
21695,21990,23046,23821,20366,20711,17866,19526,14502
21712,21982,23039,23915,20456,20716,17837,19736,14645
21817,22136,23079,23492,20695,20701,17839,19793,14674
21900,22155,23084,23468,20724,20789,17946,19834,14599
21846,22413,22942,23641,20839,20834,17934,19868,14519
21748,22427,22933,23666,21060,20914,17783,19956,14869
21752,22475,23000,23698,21091,21040,17833,20136,14901
21786,22490,23014,23697,20751,21211,17827,20317,15037
21982,22461,23081,23231,20658,20785,17755,20291,15169
22261,22347,23000,23290,20092,20693,17631,19259,15320
22294,22401,22981,23298,19989,20698,17474,19250,15320
22295,22405,23009,23341,20000,20678,17485,19112,15501
22322,22548,22886,23498,20231,20520,17343,19190,15632
22374,22730,22900,23604,20241,20535,17452,19648,
22496,22743,22836,23690,20047,20722,17466,19732,
22518,22858,22836,23689,20027,20947,17611,19718,
22536,22883,22804,23732,19849,21050,17620,19726,
22541,22793,22844,23823,19814,21051,17820,19944,
22377,22661,22676,23743,19517,20987,17812,19732,
22373,22647,22669,23905,19261,20286,17622,19829,
22318,22704,22645,24000,19234,20282,17633,19904,
22374,22860,22668,23951,18752,20205,17184,19887,
22359,22858,22657,23954,18753,20008,17128,19545,
22367,22917,22488,23958,18888,20213,16980,19453,
22424,22854,22491,23991,19128,19692,17182,19521,
22403,22905,22657,23921,19417,19663,17208,19386,
22359,22907,22716,23956,19626,19705,17219,19345,
22313,22710,22682,23903,19433,20051,17364,19261,
22307,22526,22682,23939,19425,20187,17469,19264,
22225,22506,22688,23993,19591,20159,17466,19015,
22184,22535,22736,23995,19519,20014,17503,19327,
22186,22620,22654,23977,19504,20028,17434,19408,
22098,22680,22668,23921,19153,20328,17172,19554,
22087,22642,22781,23851,18963,20363,17230,19478,
22147,22661,22810,23806,18956,20419,17119,19334,
22283,22640,22888,23701,19162,20426,17196,19174,
22312,22592,22892,23686,19552,20588,16983,18589,
22293,22508,22892,23722,19754,20584,17166,18541,
22258,22470,22805,23581,19923,20866,17047,18673,
22267,22532,22876,23625,19798,20889,17057,18281,
22291,22561,22808,23619,19600,20466,17318,18197,
22130,22554,22768,23566,19743,20277,17446,18499,
22078,22427,22682,23584,19899,20264,17362,18469,
22000,22506,21899,23578,19951,20312,17217,18520,
